volume_id,paper1_split,paper2_role,assignment_seed,assignment_algorithm,locked,test_designation
file_brain_AXT2_200_2000600,calibration,D_cal,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_200_6002116,calibration,D_cal,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_200_6002257,calibration,D_cal,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_200_6002262,calibration,D_cal,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_201_2010014,calibration,D_cal,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_201_2010152,calibration,D_cal,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_201_2010332,calibration,D_cal,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_201_2010348,calibration,D_cal,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_201_2010571,calibration,D_cal,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_202_2020016,calibration,D_cal,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_202_2020039,calibration,D_cal,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_202_2020150,calibration,D_cal,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_202_2020331,calibration,D_cal,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_202_2020365,calibration,D_cal,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_202_2020427,calibration,D_cal,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_202_2020519,calibration,D_cal,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_203_2030352,calibration,D_cal,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_205_2050244,calibration,D_cal,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_206_2060003,calibration,D_cal,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_207_2070145,calibration,D_cal,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_207_2070165,calibration,D_cal,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_207_2070608,calibration,D_cal,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_207_2070692,calibration,D_cal,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_208_2080228,calibration,D_cal,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_208_2080475,calibration,D_cal,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_208_2080616,calibration,D_cal,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_209_2090077,calibration,D_cal,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_209_2090308,calibration,D_cal,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_209_6001228,calibration,D_cal,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_209_6001248,calibration,D_cal,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_209_6001317,calibration,D_cal,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_209_6001436,calibration,D_cal,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_210_2100105,calibration,D_cal,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_210_2100136,calibration,D_cal,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_210_2100311,calibration,D_cal,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_210_2100334,calibration,D_cal,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_210_6001534,calibration,D_cal,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_210_6001583,calibration,D_cal,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_210_6001677,calibration,D_cal,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_210_6001909,calibration,D_cal,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_200_2000092,train,D_dev,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_200_2000332,train,D_dev,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_200_2000485,train,D_dev,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_200_6002261,train,D_dev,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_201_2010241,train,D_dev,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_201_2010519,train,D_dev,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_201_2010602,train,D_dev,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_202_2020067,train,D_dev,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_202_2020116,train,D_dev,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_202_2020290,train,D_dev,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_202_2020358,train,D_dev,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_203_2030135,train,D_dev,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_208_2080414,train,D_dev,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_208_2080526,train,D_dev,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_208_2080722,train,D_dev,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_209_2090406,train,D_dev,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_210_2100086,train,D_dev,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_210_2100090,train,D_dev,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_210_2100345,train,D_dev,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_210_2100365,train,D_dev,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_200_2000020,train,D_fit,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_200_2000057,train,D_fit,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_200_2000290,train,D_fit,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_200_2000357,train,D_fit,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_200_2000407,train,D_fit,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_200_2000417,train,D_fit,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_200_2000486,train,D_fit,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_200_2000488,train,D_fit,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_200_2000566,train,D_fit,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_200_2000592,train,D_fit,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_200_2000621,train,D_fit,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_200_6001980,train,D_fit,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_200_6002012,train,D_fit,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_200_6002037,train,D_fit,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_200_6002100,train,D_fit,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_200_6002158,train,D_fit,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_200_6002197,train,D_fit,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_200_6002228,train,D_fit,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_200_6002302,train,D_fit,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_200_6002308,train,D_fit,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_200_6002319,train,D_fit,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_200_6002375,train,D_fit,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_200_6002381,train,D_fit,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_200_6002387,train,D_fit,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_200_6002446,train,D_fit,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_200_6002465,train,D_fit,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_200_6002486,train,D_fit,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_200_6002500,train,D_fit,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_200_6002528,train,D_fit,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_200_6002530,train,D_fit,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_200_6002532,train,D_fit,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_200_6002539,train,D_fit,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_200_6002545,train,D_fit,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_200_6002551,train,D_fit,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_200_6002594,train,D_fit,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_200_6002601,train,D_fit,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_200_6002655,train,D_fit,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_201_2010029,train,D_fit,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_201_2010132,train,D_fit,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_201_2010156,train,D_fit,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_201_2010168,train,D_fit,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_201_2010174,train,D_fit,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_201_2010177,train,D_fit,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_201_2010201,train,D_fit,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_201_2010239,train,D_fit,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_201_2010261,train,D_fit,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_201_2010323,train,D_fit,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_201_2010338,train,D_fit,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_201_2010398,train,D_fit,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_201_2010416,train,D_fit,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_201_2010455,train,D_fit,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_201_2010532,train,D_fit,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_201_2010585,train,D_fit,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_201_2010588,train,D_fit,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_201_2010590,train,D_fit,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_201_2010604,train,D_fit,20260720,width_coil_ilp_slice_balance_v1.0,True,
file_brain_AXT2_201_2010626,train,D_fit,20260720,width_coil_ilp_slice_balance_v1.0,True,
