epoch,training_mae,development_mae,learning_rate,gradient_updates_this_epoch,cumulative_gradient_updates,training_batches,development_batches,training_seconds,development_seconds,peak_gpu_memory_gb,improved,best_epoch,best_development_mae,epochs_without_improvement
1,0.2834232862091715,0.24070747353134395,0.001,719,719,719,80,109.3550158830003,10.183436310999241,1.0792441368103027,True,1,0.24070747353134395,0
2,0.2375550151751638,0.22556599690389004,0.001,719,1438,719,80,108.95212557299965,10.03421326300122,1.0792441368103027,True,2,0.22556599690389004,0
3,0.22328440810541303,0.2163642584880449,0.001,719,2157,719,80,109.16786454499925,9.879834159000893,1.0797324180603027,True,3,0.2163642584880449,0
4,0.21883676522918225,0.21963398004884746,0.001,719,2876,719,80,109.33028251199903,9.950512225999773,1.0792441368103027,False,3,0.2163642584880449,1
5,0.21378073703360892,0.23499964673514476,0.001,719,3595,719,80,109.35159266899973,10.139607709999837,1.0792441368103027,False,3,0.2163642584880449,2
6,0.2113813103926539,0.2217473133329059,0.001,719,4314,719,80,109.41805292999925,9.81133928700001,1.0792136192321777,False,3,0.2163642584880449,3
7,0.2101829119977332,0.21900652784491254,0.0005,719,5033,719,80,109.14980720700078,10.000497937000546,1.0792441368103027,False,3,0.2163642584880449,4
8,0.20356073155863255,0.20537792734383764,0.0005,719,5752,719,80,109.45907095999974,9.926308595999217,1.0792136192321777,True,8,0.20537792734383764,0
9,0.20253873548356588,0.21142957376226976,0.0005,719,6471,719,80,109.12559466099992,9.776007816999481,1.0792441368103027,False,8,0.20537792734383764,1
10,0.20283350922634094,0.21000156550867774,0.0005,719,7190,719,80,109.46487650900053,9.87581229099851,1.0792136192321777,False,8,0.20537792734383764,2
11,0.20213541899578436,0.20515065796796764,0.0005,719,7909,719,80,109.50526171399906,9.815512907000084,1.0792441368103027,True,11,0.20515065796796764,0
12,0.20151857885022612,0.2153025273025696,0.0005,719,8628,719,80,109.36741587899996,9.957878648001497,1.0792136192321777,False,11,0.20515065796796764,1
13,0.20052439390182977,0.20888212172635168,0.0005,719,9347,719,80,109.36732545299856,9.857523319999018,1.0792441368103027,False,11,0.20515065796796764,2
14,0.19998413579453722,0.2149015476952375,0.0005,719,10066,719,80,109.49865653099914,10.014555162000761,1.0792441368103027,False,11,0.20515065796796764,3
15,0.2001146727670634,0.20660313178981884,0.00025,719,10785,719,80,109.65063350899982,9.954739086999325,1.0792441368103027,False,11,0.20515065796796764,4
16,0.19701229202711756,0.20714556101661924,0.00025,719,11504,719,80,109.47444173700023,10.073561303001043,1.0792441368103027,False,11,0.20515065796796764,5
17,0.19732947846573348,0.2068927083297302,0.00025,719,12223,719,80,109.45161589300005,10.00363927500075,1.0792441368103027,False,11,0.20515065796796764,6
18,0.19664871012811652,0.20488809680760112,0.00025,719,12942,719,80,109.62165565199939,10.033861699999761,1.0792441368103027,True,18,0.20488809680760112,0
19,0.19595531004290725,0.20679793377590572,0.00025,719,13661,719,80,109.53912781799954,10.0027113799988,1.0792441368103027,False,18,0.20488809680760112,1
20,0.19656416808003127,0.2078147183093516,0.00025,719,14380,719,80,109.68211351599894,10.012122572999942,1.0792441368103027,False,18,0.20488809680760112,2
21,0.19630345738419783,0.20693310326571596,0.00025,719,15099,719,80,109.66182845600088,9.997516977000487,1.0792136192321777,False,18,0.20488809680760112,3
22,0.19563415374060605,0.21009283038552554,0.000125,719,15818,719,80,109.60489269999925,10.009541565999825,1.0792441368103027,False,18,0.20488809680760112,4
23,0.19423598415106028,0.20809244146582734,0.000125,719,16537,719,80,109.67019106800035,10.084491613000864,1.0792441368103027,False,18,0.20488809680760112,5
24,0.19383366580820638,0.20683340074597348,0.000125,719,17256,719,80,109.6740994690008,10.02529455900003,1.0792136192321777,False,18,0.20488809680760112,6
25,0.19373442564234797,0.20743190506765918,0.000125,719,17975,719,80,109.52792350399977,9.87223331199857,1.0792136192321777,False,18,0.20488809680760112,7
26,0.1936525170595154,0.20749779912476354,6.25e-05,719,18694,719,80,109.45093556200118,10.201926749999984,1.0792441368103027,False,18,0.20488809680760112,8
27,0.19287928169636498,0.20850992271375207,6.25e-05,719,19413,719,80,109.52831422199961,9.903663043000051,1.0792441368103027,False,18,0.20488809680760112,9
28,0.1925303095781567,0.20365747438023357,6.25e-05,719,20132,719,80,109.52537958799985,10.023685093001404,1.0792441368103027,True,28,0.20365747438023357,0
29,0.19250288133265173,0.20384103356971756,6.25e-05,719,20851,719,80,109.57182183799887,9.831892267000512,1.0792441368103027,False,28,0.20365747438023357,1
30,0.1924886319251177,0.2010964255073531,6.25e-05,719,21570,719,80,109.37131296699954,9.978289762000713,1.0792441368103027,True,30,0.2010964255073531,0
31,0.19213545272388446,0.20625220131383054,6.25e-05,719,22289,719,80,109.67700970700025,9.904236030000902,1.0792441368103027,False,30,0.2010964255073531,1
32,0.1920649537714882,0.20043605269973996,6.25e-05,719,23008,719,80,109.50128408199998,9.982095133998882,1.0792441368103027,True,32,0.20043605269973996,0
33,0.19183098796450665,0.20754995594438297,6.25e-05,719,23727,719,80,109.6197448439998,9.856283787001303,1.0792441368103027,False,32,0.20043605269973996,1
34,0.19182449706478485,0.20765525398369503,6.25e-05,719,24446,719,80,109.74026978799884,9.906499934000749,1.0792441368103027,False,32,0.20043605269973996,2
