epoch,training_stochastic_mae,development_mc_mean_mae,development_deterministic_mae,development_supported_variance_mean,learning_rate,gradient_updates_this_epoch,cumulative_gradient_updates,training_batches,development_batches,mc_passes,maximum_raw_gradient_norm,training_seconds,development_seconds,peak_gpu_memory_gb,improved,best_epoch,best_development_mc_mean_mae,epochs_without_improvement
1,0.3613670262275194,0.246742842563519,0.24584061771462865,0.06796785243336485,0.001,719,719,719,80,20,27.847076416015625,110.80541756200182,58.80126192500029,1.2005157470703125,True,1,0.246742842563519,0
2,0.2983255909348001,0.2335843522488011,0.23340802918966086,0.049708508333104244,0.001,719,1438,719,80,20,9.874210357666016,110.3890528769989,58.73431383100251,1.2005157470703125,True,2,0.2335843522488011,0
3,0.2775719784289953,0.22527494914126767,0.2239662076446879,0.04225590531706159,0.001,719,2157,719,80,20,6.435361862182617,110.3669905070019,58.78043212199918,1.2005157470703125,True,3,0.22527494914126767,0
4,0.27295284163463446,0.2459161156379989,0.2445834396753162,0.04703380872411414,0.001,719,2876,719,80,20,5.528258800506592,110.18417194799986,58.716278731000784,1.2005157470703125,False,3,0.22527494914126767,1
5,0.2677661825864376,0.22971845763674917,0.22910567926193598,0.03721108690507143,0.001,719,3595,719,80,20,4.656160831451416,110.31148328100244,58.80877104499814,1.2005157470703125,False,3,0.22527494914126767,2
6,0.26530347713816377,0.23945607804425414,0.23853395295468902,0.026318558717445827,0.001,719,4314,719,80,20,5.293238162994385,110.44743794600072,58.827933215001394,1.2005157470703125,False,3,0.22527494914126767,3
7,0.26078734421302346,0.21612470587292035,0.2154333071544978,0.0295678930784003,0.001,719,5033,719,80,20,4.246267795562744,110.23206435000247,58.810036614002456,1.2005157470703125,True,7,0.21612470587292035,0
8,0.2558005137130255,0.22883774322339562,0.2281796717744378,0.02987170075727582,0.001,719,5752,719,80,20,4.126140594482422,110.40364168900123,58.78318867299822,1.2005157470703125,False,7,0.21612470587292035,1
9,0.2531689685558581,0.2170336092831133,0.21594394965257627,0.02666186760231999,0.001,719,6471,719,80,20,4.36014461517334,110.27168532599899,58.79514597900197,1.2005157470703125,False,7,0.21612470587292035,2
10,0.2510580771141111,0.22535523320166176,0.2243539646484074,0.02814706056444251,0.001,719,7190,719,80,20,3.770864963531494,110.40429934700296,58.84797613400224,1.2005157470703125,False,7,0.21612470587292035,3
11,0.24768260328081365,0.22147290769542058,0.22105975256485422,0.024191207258321794,0.0005,719,7909,719,80,20,4.110093593597412,110.46301260399923,58.86282965599821,1.2005157470703125,False,7,0.21612470587292035,4
12,0.247467969778831,0.22828405851269196,0.22813667510165894,0.024592029534727194,0.0005,719,8628,719,80,20,4.96964693069458,110.51843254400228,58.901455238999915,1.2005157470703125,False,7,0.21612470587292035,5
13,0.24550029026917822,0.2241382381111906,0.22370383981861366,0.02205027357153571,0.0005,719,9347,719,80,20,3.7480628490448,110.61868712000069,58.87466029500138,1.2005157470703125,False,7,0.21612470587292035,6
14,0.24182635658598114,0.22383263969548844,0.22309459783972763,0.02374312765530829,0.0005,719,10066,719,80,20,4.912866115570068,110.39946692000012,58.86245510699882,1.2005157470703125,False,7,0.21612470587292035,7
15,0.24472239508117688,0.22147288895854653,0.2206539102765868,0.022566296556246975,0.00025,719,10785,719,80,20,5.238049507141113,110.73848921199897,58.891129768999235,1.2005157470703125,False,7,0.21612470587292035,8
16,0.2375416687219128,0.2202047524525943,0.21968383189687168,0.02201281957908131,0.00025,719,11504,719,80,20,2.9530537128448486,110.46691551599724,59.04189406799924,1.2005157470703125,False,7,0.21612470587292035,9
17,0.2428098415854636,0.22100635012120906,0.2203089261954417,0.021603229516900715,0.00025,719,12223,719,80,20,3.7565417289733887,110.38590152499819,58.97694541800229,1.2005157470703125,False,7,0.21612470587292035,10
