member_number,member_seed,epoch,training_nll,training_mean_mae,training_supported_variance_mean,development_nll,development_mean_mae,development_supported_variance_mean,development_minimum_clamp_fraction,development_maximum_clamp_fraction,learning_rate,gradient_updates_this_epoch,cumulative_gradient_updates,maximum_raw_gradient_norm,training_seconds,development_seconds,improved,best_epoch,best_development_nll,best_development_mean_mae,epochs_without_improvement
1,20260720,1,0.3007909726213902,0.2659487166865064,0.1663643458361537,-0.0116435654834066,0.2221276048266128,0.0874686646072846,0.0,0.0,0.001,719,719,225.7398223876953,109.00975051600108,9.84863943000164,True,1,-0.0116435654834066,0.2221276048266128,0
1,20260720,2,0.0594988146591629,0.2284295143813163,0.0941702314835431,-0.1011805281321752,0.2288417722394686,0.093045298542119,0.0,0.0,0.001,719,1438,396.6561279296875,109.93284631699862,9.786791398000789,True,2,-0.1011805281321752,0.2288417722394686,0
1,20260720,3,0.0343959692398407,0.2247456705629751,0.0935580060017083,-0.1522457541794733,0.2190960058289336,0.0814534660930919,0.0,0.0,0.001,719,2157,479.7499084472656,109.9034081639984,10.05325967400131,True,3,-0.1522457541794733,0.2190960058289336,0
1,20260720,4,-0.0602444799743796,0.2212468301836129,0.0952952099251656,-0.2757073439263696,0.2172329525665335,0.0876294430767911,0.0,0.0,0.001,719,2876,708.92431640625,109.9472598829998,9.811384715998429,True,4,-0.2757073439263696,0.2172329525665335,0
1,20260720,5,-0.1346061995784585,0.2198855089172135,0.094449527087777,-0.2045853392759017,0.2250072535732812,0.0850496578970115,0.0,0.0,0.001,719,3595,310.66455078125,109.88689080800032,9.80149605800034,False,4,-0.2757073439263696,0.2172329525665335,1
1,20260720,6,-0.1302393071972422,0.2211810026718225,0.0942223403692093,-0.2849844172001666,0.2182101631415556,0.0829110826617324,0.0,0.0,0.001,719,4314,373.4107055664063,110.17190456000026,9.878959752997616,True,6,-0.2849844172001666,0.2182101631415556,0
1,20260720,7,-0.1616706597673867,0.2175654068874442,0.0925440590733415,-0.2261006255835242,0.2235286580283531,0.100082588116151,0.0,0.0,0.001,719,5033,444.68695068359375,109.94083367700296,9.864026205999837,False,6,-0.2849844172001666,0.2182101631415556,1
1,20260720,8,-0.197949156986612,0.2159366376319915,0.0923320586300031,-0.0665103373526246,0.2345440593066111,0.1104452968986851,0.0,0.0,0.001,719,5752,585.3810424804688,110.0172398499999,9.96833381900069,False,6,-0.2849844172001666,0.2182101631415556,2
1,20260720,9,-0.1952484969949694,0.2176063146285608,0.0956198145920089,-0.2411568587814971,0.213346472179478,0.086605720291489,0.0,0.0,0.001,719,6471,398.4041442871094,109.99831289600117,9.83178846899682,False,6,-0.2849844172001666,0.2182101631415556,3
1,20260720,10,-0.1725351667220284,0.2165973441078021,0.0906477303596831,-0.0394217150573169,0.230715583072249,0.0828125585065193,0.0,0.0,0.0005,719,7190,493.6836853027344,109.98705460899872,9.911856321999949,False,6,-0.2849844172001666,0.2182101631415556,4
