task,endpoint,first_method,second_method,difference_definition,observed_mean_difference,ci_low,ci_high,direction,bootstrap_probability_first_better,bootstrap_replicates,bootstrap_seed
R,auprc,C0,U1,first_minus_second,0.11390486799301658,0.10126622277241167,0.12716620152698277,higher_is_better,1.0,1000,20260725
R,auprc,C0,U2a,first_minus_second,0.42882166937712307,0.4034187771389348,0.4573811726010229,higher_is_better,1.0,1000,20260725
R,auprc,C0,U2b,first_minus_second,0.4044310581827849,0.3739082586409088,0.44013682903584456,higher_is_better,1.0,1000,20260725
R,auprc,C0,B1,first_minus_second,0.2516868507162412,0.23012137587040687,0.275666520312243,higher_is_better,1.0,1000,20260725
R,auprc,C0,B2,first_minus_second,0.24818044741148987,0.22610710525187275,0.27137049009441333,higher_is_better,1.0,1000,20260725
R,auprc,C0,B3,first_minus_second,0.39537003878075494,0.37813790007722403,0.4146766291807359,higher_is_better,1.0,1000,20260725
R,auprc,C0,B4,first_minus_second,0.2532066018204513,0.23267205515043315,0.27207552904245014,higher_is_better,1.0,1000,20260725
R,auprc,C0,B5,first_minus_second,0.4771538458934524,0.4581758155941247,0.4989985513234299,higher_is_better,1.0,1000,20260725
R,auprc,C0,B6,first_minus_second,0.29632950997560714,0.27057836530537005,0.32587603738101123,higher_is_better,1.0,1000,20260725
R,auprc,U1,U2a,first_minus_second,0.3149168013841065,0.2917241712891551,0.3415517316685228,higher_is_better,1.0,1000,20260725
R,auprc,U1,U2b,first_minus_second,0.29052619018976833,0.2616238508999158,0.32337449326477624,higher_is_better,1.0,1000,20260725
R,auprc,U1,B1,first_minus_second,0.13778198272322464,0.11719717575883287,0.16094710480224841,higher_is_better,1.0,1000,20260725
R,auprc,U1,B2,first_minus_second,0.13427557941847326,0.1142037742307774,0.15725589848636365,higher_is_better,1.0,1000,20260725
R,auprc,U1,B3,first_minus_second,0.2814651707877383,0.2621737982103086,0.30389396450042266,higher_is_better,1.0,1000,20260725
R,auprc,U1,B4,first_minus_second,0.13930173382743471,0.12161220199030724,0.15528677223720946,higher_is_better,1.0,1000,20260725
R,auprc,U1,B5,first_minus_second,0.36324897790043587,0.3433752936290233,0.38473549742616947,higher_is_better,1.0,1000,20260725
R,auprc,U1,B6,first_minus_second,0.18242464198259056,0.15739458514237634,0.20942486490270817,higher_is_better,1.0,1000,20260725
R,auprc,U2a,U2b,first_minus_second,-0.02439061119433818,-0.03682997937758934,-0.0125193644838815,higher_is_better,0.0,1000,20260725
R,auprc,U2a,B1,first_minus_second,-0.17713481866088188,-0.19207613651847436,-0.16165874980192071,higher_is_better,0.0,1000,20260725
R,auprc,U2a,B2,first_minus_second,-0.1806412219656332,-0.19654245663257228,-0.1641533874750882,higher_is_better,0.0,1000,20260725
R,auprc,U2a,B3,first_minus_second,-0.03345163059636815,-0.04847923689114117,-0.018699534118811874,higher_is_better,0.0,1000,20260725
R,auprc,U2a,B4,first_minus_second,-0.1756150675566718,-0.2028391599371621,-0.15146139772394232,higher_is_better,0.0,1000,20260725
R,auprc,U2a,B5,first_minus_second,0.04833217651632933,0.036400189778443164,0.06022234652119967,higher_is_better,1.0,1000,20260725
R,auprc,U2a,B6,first_minus_second,-0.1324921594015159,-0.1457924901495246,-0.11981815983552753,higher_is_better,0.0,1000,20260725
R,auprc,U2b,B1,first_minus_second,-0.15274420746654369,-0.16981264009480218,-0.13708627532879517,higher_is_better,0.0,1000,20260725
R,auprc,U2b,B2,first_minus_second,-0.15625061077129504,-0.17426593794173378,-0.13980239165333969,higher_is_better,0.0,1000,20260725
R,auprc,U2b,B3,first_minus_second,-0.009061019402029979,-0.03194501765422703,0.012027928531713082,higher_is_better,0.206,1000,20260725
R,auprc,U2b,B4,first_minus_second,-0.15122445636233364,-0.1819310971324254,-0.12364259160176808,higher_is_better,0.0,1000,20260725
R,auprc,U2b,B5,first_minus_second,0.07272278771066751,0.05575514529452417,0.0899676819611007,higher_is_better,1.0,1000,20260725
R,auprc,U2b,B6,first_minus_second,-0.10810154820717774,-0.1173978390684384,-0.09877969749902187,higher_is_better,0.0,1000,20260725
