task,endpoint,method,n_volumes,estimate,ci_low,ci_high,confidence_level,bootstrap_replicates,bootstrap_seed,direction
R,auprc,C0,40,0.8282116797883073,0.8014918932484675,0.8537978882991061,0.95,1000,20260725,higher_is_better
R,auprc,U1,40,0.7143068117952909,0.6862074031038481,0.7418075798786218,0.95,1000,20260725,higher_is_better
R,auprc,U2a,40,0.3993900104111844,0.37666383826833916,0.42331817790393905,0.95,1000,20260725,higher_is_better
R,auprc,U2b,40,0.4237806216055226,0.3931421273110859,0.4554465201874929,0.95,1000,20260725,higher_is_better
R,auprc,B1,40,0.5765248290720664,0.5499677651106614,0.6048853432464796,0.95,1000,20260725,higher_is_better
R,auprc,B2,40,0.5800312323768176,0.553722183480084,0.6089296415527602,0.95,1000,20260725,higher_is_better
R,auprc,B3,40,0.4328416410075526,0.4114770017619953,0.45558232494018586,0.95,1000,20260725,higher_is_better
R,auprc,B4,40,0.5750050779678562,0.541652764394474,0.6106662069319627,0.95,1000,20260725,higher_is_better
R,auprc,B5,40,0.35105783389485506,0.3304433844572462,0.373262327293176,0.95,1000,20260725,higher_is_better
R,auprc,B6,40,0.5318821698127004,0.5032539308356306,0.5619575166458901,0.95,1000,20260725,higher_is_better
