task,endpoint,method,n_volumes,estimate,ci_low,ci_high,confidence_level,bootstrap_replicates,bootstrap_seed,direction
R,auroc,C0,40,0.9130187673539345,0.9035171427028618,0.9227921395307083,0.95,1000,20260725,higher_is_better
R,auroc,U1,40,0.840964583898834,0.8281760184043289,0.8527981084808411,0.95,1000,20260725,higher_is_better
R,auroc,U2a,40,0.612851978289832,0.5965580837918827,0.6289472462385668,0.95,1000,20260725,higher_is_better
R,auroc,U2b,40,0.662979862621859,0.6383435362188896,0.6854129756545043,0.95,1000,20260725,higher_is_better
R,auroc,B1,40,0.7703109376338736,0.7556119091267025,0.7829852987574394,0.95,1000,20260725,higher_is_better
R,auroc,B2,40,0.7770780045026608,0.7620852181705077,0.790245346892931,0.95,1000,20260725,higher_is_better
R,auroc,B3,40,0.5569427817982907,0.5434819981830259,0.5706694528086611,0.95,1000,20260725,higher_is_better
R,auroc,B4,40,0.768907892147975,0.7577096139093172,0.7797164413378154,0.95,1000,20260725,higher_is_better
R,auroc,B5,40,0.5008590006990526,0.5005687975943272,0.5011408662836898,0.95,1000,20260725,higher_is_better
R,auroc,B6,40,0.7561258139093232,0.741600193164064,0.7691321544677054,0.95,1000,20260725,higher_is_better
