task,endpoint,first_method,second_method,direction,first_method_volume_win_rate,volume_tie_rate,n_volumes
R,auprc,C0,U1,higher_is_better,1.0,0.0,40
R,auprc,C0,U2a,higher_is_better,1.0,0.0,40
R,auprc,C0,U2b,higher_is_better,1.0,0.0,40
R,auprc,C0,B1,higher_is_better,1.0,0.0,40
R,auprc,C0,B2,higher_is_better,1.0,0.0,40
R,auprc,C0,B3,higher_is_better,1.0,0.0,40
R,auprc,C0,B4,higher_is_better,1.0,0.0,40
R,auprc,C0,B5,higher_is_better,1.0,0.0,40
R,auprc,C0,B6,higher_is_better,1.0,0.0,40
R,auprc,U1,U2a,higher_is_better,1.0,0.0,40
R,auprc,U1,U2b,higher_is_better,1.0,0.0,40
R,auprc,U1,B1,higher_is_better,0.975,0.0,40
R,auprc,U1,B2,higher_is_better,0.975,0.0,40
R,auprc,U1,B3,higher_is_better,1.0,0.0,40
R,auprc,U1,B4,higher_is_better,1.0,0.0,40
R,auprc,U1,B5,higher_is_better,1.0,0.0,40
R,auprc,U1,B6,higher_is_better,1.0,0.0,40
R,auprc,U2a,U2b,higher_is_better,0.275,0.0,40
R,auprc,U2a,B1,higher_is_better,0.0,0.0,40
R,auprc,U2a,B2,higher_is_better,0.0,0.0,40
R,auprc,U2a,B3,higher_is_better,0.275,0.0,40
R,auprc,U2a,B4,higher_is_better,0.0,0.0,40
R,auprc,U2a,B5,higher_is_better,0.825,0.0,40
R,auprc,U2a,B6,higher_is_better,0.0,0.0,40
R,auprc,U2b,B1,higher_is_better,0.0,0.0,40
R,auprc,U2b,B2,higher_is_better,0.0,0.0,40
R,auprc,U2b,B3,higher_is_better,0.4,0.0,40
R,auprc,U2b,B4,higher_is_better,0.025,0.0,40
R,auprc,U2b,B5,higher_is_better,0.9,0.0,40
R,auprc,U2b,B6,higher_is_better,0.0,0.0,40
R,auprc,B1,B2,higher_is_better,0.15,0.0,40
R,auprc,B1,B3,higher_is_better,1.0,0.0,40
R,auprc,B1,B4,higher_is_better,0.7,0.0,40
R,auprc,B1,B5,higher_is_better,1.0,0.0,40
R,auprc,B1,B6,higher_is_better,0.95,0.0,40
R,auprc,B2,B3,higher_is_better,1.0,0.0,40
R,auprc,B2,B4,higher_is_better,0.7,0.0,40
R,auprc,B2,B5,higher_is_better,1.0,0.0,40
R,auprc,B2,B6,higher_is_better,0.95,0.0,40
R,auprc,B3,B4,higher_is_better,0.0,0.0,40
R,auprc,B3,B5,higher_is_better,1.0,0.0,40
R,auprc,B3,B6,higher_is_better,0.075,0.0,40
R,auprc,B4,B5,higher_is_better,1.0,0.0,40
R,auprc,B4,B6,higher_is_better,0.7,0.0,40
R,auprc,B5,B6,higher_is_better,0.0,0.0,40
