threshold_name,threshold_value,task,endpoint,first_method,second_method,difference_definition,observed_mean_difference,ci_low,ci_high,direction,bootstrap_probability_first_better,bootstrap_replicates,bootstrap_seed
q85,1.4107755422592163,R,auprc,C0,U1,first_minus_second,0.07309493208492909,0.06402670014757644,0.08363730940686744,higher_is_better,1.0,1000,20260725
q85,1.4107755422592163,R,auprc,C0,U2a,first_minus_second,0.3119541307588755,0.28979968270099743,0.3349287157970466,higher_is_better,1.0,1000,20260725
q85,1.4107755422592163,R,auprc,C0,U2b,first_minus_second,0.23905405688270803,0.20869421606969424,0.27383047434614743,higher_is_better,1.0,1000,20260725
q85,1.4107755422592163,R,auprc,C0,B1,first_minus_second,0.16388639233596627,0.14592937800027048,0.18210242251862888,higher_is_better,1.0,1000,20260725
q85,1.4107755422592163,R,auprc,C0,B2,first_minus_second,0.1608158850397171,0.14249002125404708,0.1790048899589606,higher_is_better,1.0,1000,20260725
q85,1.4107755422592163,R,auprc,C0,B3,first_minus_second,0.36029606614910015,0.34691900257849584,0.37414833118114965,higher_is_better,1.0,1000,20260725
q85,1.4107755422592163,R,auprc,C0,B4,first_minus_second,0.17100923980026592,0.1546818239951428,0.18616342928241106,higher_is_better,1.0,1000,20260725
q85,1.4107755422592163,R,auprc,C0,B5,first_minus_second,0.4194022778824092,0.4053190166254988,0.43357477799324023,higher_is_better,1.0,1000,20260725
q85,1.4107755422592163,R,auprc,C0,B6,first_minus_second,0.17959140945677934,0.15960926821270466,0.2022378330760697,higher_is_better,1.0,1000,20260725
q85,1.4107755422592163,R,auprc,U1,U2a,first_minus_second,0.23885919867394642,0.21798595172174953,0.2609887135765902,higher_is_better,1.0,1000,20260725
q85,1.4107755422592163,R,auprc,U1,U2b,first_minus_second,0.1659591247977789,0.1372983894527436,0.19752952223228265,higher_is_better,1.0,1000,20260725
q85,1.4107755422592163,R,auprc,U1,B1,first_minus_second,0.09079146025103717,0.07595346813145339,0.10637413996611911,higher_is_better,1.0,1000,20260725
q85,1.4107755422592163,R,auprc,U1,B2,first_minus_second,0.08772095295478803,0.07262115687658376,0.10344881071283914,higher_is_better,1.0,1000,20260725
q85,1.4107755422592163,R,auprc,U1,B3,first_minus_second,0.2872011340641711,0.27270883847563837,0.3024620914780701,higher_is_better,1.0,1000,20260725
q85,1.4107755422592163,R,auprc,U1,B4,first_minus_second,0.09791430771533684,0.08544001965777852,0.11003964735075679,higher_is_better,1.0,1000,20260725
q85,1.4107755422592163,R,auprc,U1,B5,first_minus_second,0.34630734579748007,0.3333295252974647,0.359537308337185,higher_is_better,1.0,1000,20260725
q85,1.4107755422592163,R,auprc,U1,B6,first_minus_second,0.10649647737185028,0.08812954077492229,0.12681532237787627,higher_is_better,1.0,1000,20260725
q85,1.4107755422592163,R,auprc,U2a,U2b,first_minus_second,-0.07290007387616748,-0.08967745508879747,-0.055835760121496804,higher_is_better,0.0,1000,20260725
q85,1.4107755422592163,R,auprc,U2a,B1,first_minus_second,-0.1480677384229092,-0.16366452605423934,-0.13174715247580088,higher_is_better,0.0,1000,20260725
q85,1.4107755422592163,R,auprc,U2a,B2,first_minus_second,-0.15113824571915838,-0.16749986467595715,-0.1339890970224914,higher_is_better,0.0,1000,20260725
q85,1.4107755422592163,R,auprc,U2a,B3,first_minus_second,0.04834193539022467,0.029719290807376158,0.06766890881574734,higher_is_better,1.0,1000,20260725
q85,1.4107755422592163,R,auprc,U2a,B4,first_minus_second,-0.14094489095860957,-0.1623840875063128,-0.12241741222967954,higher_is_better,0.0,1000,20260725
q85,1.4107755422592163,R,auprc,U2a,B5,first_minus_second,0.10744814712353365,0.09243862455263434,0.12227754443639627,higher_is_better,1.0,1000,20260725
q85,1.4107755422592163,R,auprc,U2a,B6,first_minus_second,-0.13236272130209614,-0.14623218802157,-0.11922987152228587,higher_is_better,0.0,1000,20260725
q85,1.4107755422592163,R,auprc,U2b,B1,first_minus_second,-0.07516766454674176,-0.09549302831092318,-0.056840160721421104,higher_is_better,0.0,1000,20260725
q85,1.4107755422592163,R,auprc,U2b,B2,first_minus_second,-0.0782381718429909,-0.09908264942425553,-0.059313324745387294,higher_is_better,0.0,1000,20260725
q85,1.4107755422592163,R,auprc,U2b,B3,first_minus_second,0.12124200926639213,0.09174842388406869,0.14738169831717562,higher_is_better,1.0,1000,20260725
q85,1.4107755422592163,R,auprc,U2b,B4,first_minus_second,-0.06804481708244207,-0.09677020039561558,-0.042859987165408626,higher_is_better,0.0,1000,20260725
q85,1.4107755422592163,R,auprc,U2b,B5,first_minus_second,0.18034822099970116,0.15576308283457127,0.20176803044133237,higher_is_better,1.0,1000,20260725
q85,1.4107755422592163,R,auprc,U2b,B6,first_minus_second,-0.05946264742592865,-0.0729665520622484,-0.04714936797939782,higher_is_better,0.0,1000,20260725
q85,1.4107755422592163,R,auprc,B1,B2,first_minus_second,-0.003070507296249139,-0.00420462327226532,-0.0018528166801259655,higher_is_better,0.0,1000,20260725
q85,1.4107755422592163,R,auprc,B1,B3,first_minus_second,0.1964096738131339,0.1813845002245136,0.21181683915524044,higher_is_better,1.0,1000,20260725
q85,1.4107755422592163,R,auprc,B1,B4,first_minus_second,0.007122847464299661,-0.005954347307810728,0.01863573680395645,higher_is_better,0.859,1000,20260725
q85,1.4107755422592163,R,auprc,B1,B5,first_minus_second,0.2555158855464429,0.2412224475509667,0.26870398826854874,higher_is_better,1.0,1000,20260725
q85,1.4107755422592163,R,auprc,B1,B6,first_minus_second,0.015705017120813094,0.006038539752270852,0.025581029915743656,higher_is_better,0.999,1000,20260725
q85,1.4107755422592163,R,auprc,B2,B3,first_minus_second,0.19948018110938304,0.18412474405095525,0.21559150006152153,higher_is_better,1.0,1000,20260725
q85,1.4107755422592163,R,auprc,B2,B4,first_minus_second,0.010193354760548801,-0.0027024611383712834,0.021463366435130124,higher_is_better,0.939,1000,20260725
q85,1.4107755422592163,R,auprc,B2,B5,first_minus_second,0.258586392842692,0.24372227106564492,0.27225365351946146,higher_is_better,1.0,1000,20260725
q85,1.4107755422592163,R,auprc,B2,B6,first_minus_second,0.018775524417062234,0.00831575474907415,0.02959984963824891,higher_is_better,1.0,1000,20260725
q85,1.4107755422592163,R,auprc,B3,B4,first_minus_second,-0.18928682634883423,-0.20603775166008592,-0.17427561650290838,higher_is_better,0.0,1000,20260725
q85,1.4107755422592163,R,auprc,B3,B5,first_minus_second,0.059106211733309,0.048183224725977844,0.07086444798086905,higher_is_better,1.0,1000,20260725
q85,1.4107755422592163,R,auprc,B3,B6,first_minus_second,-0.18070465669232078,-0.19918586814631847,-0.1615319852290285,higher_is_better,0.0,1000,20260725
q85,1.4107755422592163,R,auprc,B4,B5,first_minus_second,0.24839303808214322,0.2350080018546949,0.2621906434664102,higher_is_better,1.0,1000,20260725
q85,1.4107755422592163,R,auprc,B4,B6,first_minus_second,0.008582169656513433,-0.008587953150393506,0.028537719075279435,higher_is_better,0.825,1000,20260725
q85,1.4107755422592163,R,auprc,B5,B6,first_minus_second,-0.2398108684256298,-0.253192331417962,-0.2248365014160766,higher_is_better,0.0,1000,20260725
q95,2.0520856380462646,R,auprc,C0,U1,first_minus_second,0.14144258269419815,0.12702830454059488,0.15618175562828904,higher_is_better,1.0,1000,20260725
q95,2.0520856380462646,R,auprc,C0,U2a,first_minus_second,0.42789061214437607,0.4006739163414835,0.4564979002908499,higher_is_better,1.0,1000,20260725
q95,2.0520856380462646,R,auprc,C0,U2b,first_minus_second,0.43198457624025044,0.4033808618195442,0.4626534204645441,higher_is_better,1.0,1000,20260725
q95,2.0520856380462646,R,auprc,C0,B1,first_minus_second,0.28158739157686574,0.2595912559012247,0.30463034658016624,higher_is_better,1.0,1000,20260725
q95,2.0520856380462646,R,auprc,C0,B2,first_minus_second,0.2787706600629261,0.2566262911736081,0.30149330159657844,higher_is_better,1.0,1000,20260725
q95,2.0520856380462646,R,auprc,C0,B3,first_minus_second,0.36428585747975534,0.3425609719746093,0.38664996126070095,higher_is_better,1.0,1000,20260725
q95,2.0520856380462646,R,auprc,C0,B4,first_minus_second,0.29564283973762084,0.2745543283410304,0.3162242250672771,higher_is_better,1.0,1000,20260725
q95,2.0520856380462646,R,auprc,C0,B5,first_minus_second,0.4424535892093151,0.4168891220045392,0.4683717946111236,higher_is_better,1.0,1000,20260725
q95,2.0520856380462646,R,auprc,C0,B6,first_minus_second,0.33569484156682794,0.30813086156732483,0.36394158900382,higher_is_better,1.0,1000,20260725
q95,2.0520856380462646,R,auprc,U1,U2a,first_minus_second,0.286448029450178,0.26278683444894213,0.3106272441153382,higher_is_better,1.0,1000,20260725
q95,2.0520856380462646,R,auprc,U1,U2b,first_minus_second,0.2905419935460522,0.26504370463670257,0.3177354677141655,higher_is_better,1.0,1000,20260725
q95,2.0520856380462646,R,auprc,U1,B1,first_minus_second,0.14014480888266762,0.1210689148431397,0.16088874183000992,higher_is_better,1.0,1000,20260725
q95,2.0520856380462646,R,auprc,U1,B2,first_minus_second,0.13732807736872799,0.11860547911178909,0.15798104783920663,higher_is_better,1.0,1000,20260725
q95,2.0520856380462646,R,auprc,U1,B3,first_minus_second,0.22284327478555718,0.20476456079736569,0.24371921287570136,higher_is_better,1.0,1000,20260725
q95,2.0520856380462646,R,auprc,U1,B4,first_minus_second,0.15420025704342272,0.13539565705425236,0.17307834785738846,higher_is_better,1.0,1000,20260725
q95,2.0520856380462646,R,auprc,U1,B5,first_minus_second,0.3010110065151169,0.2802984660411643,0.322776298725757,higher_is_better,1.0,1000,20260725
q95,2.0520856380462646,R,auprc,U1,B6,first_minus_second,0.19425225887262978,0.17102482183503537,0.21835450688193722,higher_is_better,1.0,1000,20260725
q95,2.0520856380462646,R,auprc,U2a,U2b,first_minus_second,0.004093964095874251,-0.0011061279170482086,0.0092330677965687,higher_is_better,0.936,1000,20260725
q95,2.0520856380462646,R,auprc,U2a,B1,first_minus_second,-0.14630322056751038,-0.15853293989103062,-0.13385219407360163,higher_is_better,0.0,1000,20260725
q95,2.0520856380462646,R,auprc,U2a,B2,first_minus_second,-0.14911995208145,-0.16247999412932634,-0.13556584639957844,higher_is_better,0.0,1000,20260725
q95,2.0520856380462646,R,auprc,U2a,B3,first_minus_second,-0.06360475466462082,-0.07476056427036805,-0.052246909659504695,higher_is_better,0.0,1000,20260725
q95,2.0520856380462646,R,auprc,U2a,B4,first_minus_second,-0.13224777240675528,-0.1544393309024362,-0.1141135723273674,higher_is_better,0.0,1000,20260725
q95,2.0520856380462646,R,auprc,U2a,B5,first_minus_second,0.014562977064938953,0.007397411083169019,0.021962369843564675,higher_is_better,1.0,1000,20260725
q95,2.0520856380462646,R,auprc,U2a,B6,first_minus_second,-0.0921957705775482,-0.10260857284058755,-0.08201927205037476,higher_is_better,0.0,1000,20260725
q95,2.0520856380462646,R,auprc,U2b,B1,first_minus_second,-0.15039718466338461,-0.1629183475400866,-0.13779782076596725,higher_is_better,0.0,1000,20260725
q95,2.0520856380462646,R,auprc,U2b,B2,first_minus_second,-0.15321391617732427,-0.16668410175018905,-0.13952411816727034,higher_is_better,0.0,1000,20260725
q95,2.0520856380462646,R,auprc,U2b,B3,first_minus_second,-0.06769871876049506,-0.08084426321638094,-0.0553418857577789,higher_is_better,0.0,1000,20260725
q95,2.0520856380462646,R,auprc,U2b,B4,first_minus_second,-0.1363417365026295,-0.1579367004793962,-0.11709399832615722,higher_is_better,0.0,1000,20260725
q95,2.0520856380462646,R,auprc,U2b,B5,first_minus_second,0.010469012969064702,0.0028532567897645456,0.01784575613847733,higher_is_better,0.997,1000,20260725
q95,2.0520856380462646,R,auprc,U2b,B6,first_minus_second,-0.09628973467342243,-0.10491312679518547,-0.0877241595629153,higher_is_better,0.0,1000,20260725
q95,2.0520856380462646,R,auprc,B1,B2,first_minus_second,-0.002816731513939634,-0.00410640542707755,-0.0014759247834117196,higher_is_better,0.0,1000,20260725
q95,2.0520856380462646,R,auprc,B1,B3,first_minus_second,0.08269846590288957,0.07219121330306676,0.09356484353905008,higher_is_better,1.0,1000,20260725
q95,2.0520856380462646,R,auprc,B1,B4,first_minus_second,0.014055448160755112,-0.003945502040147819,0.03050814035723231,higher_is_better,0.938,1000,20260725
q95,2.0520856380462646,R,auprc,B1,B5,first_minus_second,0.1608661976324493,0.1479097577563024,0.1739556564034285,higher_is_better,1.0,1000,20260725
q95,2.0520856380462646,R,auprc,B1,B6,first_minus_second,0.054107449989962184,0.043838537625789153,0.06494901517487696,higher_is_better,1.0,1000,20260725
q95,2.0520856380462646,R,auprc,B2,B3,first_minus_second,0.0855151974168292,0.07421552596685926,0.09732815902384631,higher_is_better,1.0,1000,20260725
q95,2.0520856380462646,R,auprc,B2,B4,first_minus_second,0.01687217967469475,-0.0011027092084892162,0.033350850637739266,higher_is_better,0.965,1000,20260725
q95,2.0520856380462646,R,auprc,B2,B5,first_minus_second,0.16368292914638896,0.14972961401906806,0.1777271893287216,higher_is_better,1.0,1000,20260725
