threshold_name,threshold_value,task,endpoint,method,n_volumes,estimate,ci_low,ci_high,confidence_level,bootstrap_replicates,bootstrap_seed,direction
q85,1.4107755422592163,R,auprc,C0,40,0.9294972351955033,0.9137813721578973,0.9438576661399923,0.95,1000,20260725,higher_is_better
q85,1.4107755422592163,R,auprc,U1,40,0.8564023031105743,0.8343990181436899,0.8768366509874488,0.95,1000,20260725,higher_is_better
q85,1.4107755422592163,R,auprc,U2a,40,0.6175431044366279,0.5901467368620993,0.644837625418557,0.95,1000,20260725,higher_is_better
q85,1.4107755422592163,R,auprc,U2b,40,0.6904431783127952,0.6494247321159444,0.7294328494520931,0.95,1000,20260725,higher_is_better
q85,1.4107755422592163,R,auprc,B1,40,0.7656108428595371,0.7378898196007838,0.7932993363352883,0.95,1000,20260725,higher_is_better
q85,1.4107755422592163,R,auprc,B2,40,0.7686813501557862,0.7405466956873621,0.796722992461603,0.95,1000,20260725,higher_is_better
q85,1.4107755422592163,R,auprc,B3,40,0.5692011690464032,0.5486707147641574,0.5908410531721712,0.95,1000,20260725,higher_is_better
q85,1.4107755422592163,R,auprc,B4,40,0.7584879953952374,0.7303687877192121,0.78599222524162,0.95,1000,20260725,higher_is_better
q85,1.4107755422592163,R,auprc,B5,40,0.5100949573130942,0.48845554773545224,0.5317323903083198,0.95,1000,20260725,higher_is_better
q85,1.4107755422592163,R,auprc,B6,40,0.749905825738724,0.7197089682668628,0.7779796769692598,0.95,1000,20260725,higher_is_better
q95,2.0520856380462646,R,auprc,C0,40,0.6230838723068232,0.5942898671787608,0.6519160189337071,0.95,1000,20260725,higher_is_better
q95,2.0520856380462646,R,auprc,U1,40,0.48164128961262503,0.456387444683609,0.507026315937511,0.95,1000,20260725,higher_is_better
q95,2.0520856380462646,R,auprc,U2a,40,0.19519326016244704,0.18508234581774122,0.20633728954932606,0.95,1000,20260725,higher_is_better
q95,2.0520856380462646,R,auprc,U2b,40,0.19109929606657278,0.17864449341254882,0.2044984714186796,0.95,1000,20260725,higher_is_better
q95,2.0520856380462646,R,auprc,B1,40,0.3414964807299574,0.32571457389968184,0.35783150280481596,0.95,1000,20260725,higher_is_better
q95,2.0520856380462646,R,auprc,B2,40,0.34431321224389705,0.3278974468601798,0.3614276514461741,0.95,1000,20260725,higher_is_better
q95,2.0520856380462646,R,auprc,B3,40,0.2587980148270678,0.24417372230196505,0.2728416812618799,0.95,1000,20260725,higher_is_better
q95,2.0520856380462646,R,auprc,B4,40,0.3274410325692023,0.30401953440545715,0.35357033329465776,0.95,1000,20260725,higher_is_better
q95,2.0520856380462646,R,auprc,B5,40,0.1806302830975081,0.16892105515454978,0.193580538913312,0.95,1000,20260725,higher_is_better
q95,2.0520856380462646,R,auprc,B6,40,0.2873890307399952,0.271479774222155,0.3045159034042952,0.95,1000,20260725,higher_is_better
