threshold_name,threshold_value,task,endpoint,method,n_volumes,estimate,ci_low,ci_high,confidence_level,bootstrap_replicates,bootstrap_seed,direction
q85,1.4107755422592163,R,auroc,C0,40,0.943031620704551,0.9343126708029915,0.951186808077342,0.95,1000,20260725,higher_is_better
q85,1.4107755422592163,R,auroc,U1,40,0.8673107360131566,0.8539060329457294,0.8800352741635691,0.95,1000,20260725,higher_is_better
q85,1.4107755422592163,R,auroc,U2a,40,0.6853120973677663,0.6674739014068192,0.7032191740215492,0.95,1000,20260725,higher_is_better
q85,1.4107755422592163,R,auroc,U2b,40,0.7845979959073477,0.758243333534184,0.8078689799044624,0.95,1000,20260725,higher_is_better
q85,1.4107755422592163,R,auroc,B1,40,0.8238958439311993,0.8082424853924811,0.8388554463687996,0.95,1000,20260725,higher_is_better
q85,1.4107755422592163,R,auroc,B2,40,0.8310235987554273,0.8149466229520304,0.8463849753743492,0.95,1000,20260725,higher_is_better
q85,1.4107755422592163,R,auroc,B3,40,0.5264486576068691,0.511120706601953,0.5419801138337697,0.95,1000,20260725,higher_is_better
q85,1.4107755422592163,R,auroc,B4,40,0.8130681295470301,0.8005635968913392,0.8250475356863266,0.95,1000,20260725,higher_is_better
q85,1.4107755422592163,R,auroc,B5,40,0.5012237966945218,0.5009682570210751,0.5014395355282258,0.95,1000,20260725,higher_is_better
q85,1.4107755422592163,R,auroc,B6,40,0.8255458175567849,0.8083028217238255,0.8408776600832517,0.95,1000,20260725,higher_is_better
q95,2.0520856380462646,R,auroc,C0,40,0.8884699391891345,0.8784223565205991,0.8987355020906854,0.95,1000,20260725,higher_is_better
q95,2.0520856380462646,R,auroc,U1,40,0.8189824853139556,0.8080986801604281,0.8302962692866402,0.95,1000,20260725,higher_is_better
q95,2.0520856380462646,R,auroc,U2a,40,0.5715303132124094,0.5550324277712128,0.5869323664328517,0.95,1000,20260725,higher_is_better
q95,2.0520856380462646,R,auroc,U2b,40,0.5801915330367292,0.5595861293154014,0.5993518473340578,0.95,1000,20260725,higher_is_better
q95,2.0520856380462646,R,auroc,B1,40,0.7407321328402345,0.7262337366972819,0.7543602703779237,0.95,1000,20260725,higher_is_better
q95,2.0520856380462646,R,auroc,B2,40,0.747570371322405,0.7320855713280093,0.7622829482504573,0.95,1000,20260725,higher_is_better
q95,2.0520856380462646,R,auroc,B3,40,0.5807737775952214,0.5673244896908113,0.5934271147441017,0.95,1000,20260725,higher_is_better
q95,2.0520856380462646,R,auroc,B4,40,0.7373119011186344,0.7277286505105725,0.7472910513365288,0.95,1000,20260725,higher_is_better
q95,2.0520856380462646,R,auroc,B5,40,0.5006581599172361,0.5003442307557442,0.5009888866521003,0.95,1000,20260725,higher_is_better
q95,2.0520856380462646,R,auroc,B6,40,0.7139992955560313,0.7008077066838355,0.7262404067169481,0.95,1000,20260725,higher_is_better
